Incident Date,Total Cases
2018-01-01,463
2018-01-02,327
2018-01-03,366
2018-01-04,385
2018-01-05,369
2018-01-06,372
2018-01-07,321
2018-01-08,301
2018-01-09,341
2018-01-10,345
2018-01-11,339
2018-01-12,385
2018-01-13,369
2018-01-14,320
2018-01-15,328
2018-01-16,305
2018-01-17,336
2018-01-18,352
2018-01-19,403
2018-01-20,319
2018-01-21,313
2018-01-22,366
2018-01-23,379
2018-01-24,347
2018-01-25,396
2018-01-26,400
2018-01-27,372
2018-01-28,338
2018-01-29,361
2018-01-30,365
2018-01-31,384
2018-02-01,387
2018-02-02,365
2018-02-03,340
2018-02-04,290
2018-02-05,318
2018-02-06,351
2018-02-07,338
2018-02-08,373
2018-02-09,370
2018-02-10,373
2018-02-11,295
2018-02-12,343
2018-02-13,291
2018-02-14,342
2018-02-15,353
2018-02-16,339
2018-02-17,368
2018-02-18,336
2018-02-19,293
2018-02-20,363
2018-02-21,358
2018-02-22,360
2018-02-23,353
2018-02-24,379
2018-02-25,332
2018-02-26,336
2018-02-27,326
2018-02-28,367
2018-03-01,401
2018-03-02,322
2018-03-03,329
2018-03-04,325
2018-03-05,310
2018-03-06,301
2018-03-07,322
2018-03-08,320
2018-03-09,346
2018-03-10,353
2018-03-11,235
2018-03-12,330
2018-03-13,333
2018-03-14,331
2018-03-15,342
2018-03-16,371
2018-03-17,337
2018-03-18,309
2018-03-19,320
2018-03-20,325
2018-03-21,312
2018-03-22,324
2018-03-23,384
2018-03-24,333
2018-03-25,324
2018-03-26,297
2018-03-27,352
2018-03-28,369
2018-03-29,303
2018-03-30,376
2018-03-31,346
2018-04-01,351
2018-04-02,345
2018-04-03,314
2018-04-04,355
2018-04-05,329
2018-04-06,349
2018-04-07,314
2018-04-08,293
2018-04-09,334
2018-04-10,365
2018-04-11,402
2018-04-12,304
2018-04-13,415
2018-04-14,357
2018-04-15,320
2018-04-16,336
2018-04-17,333
2018-04-18,374
2018-04-19,361
2018-04-20,399
2018-04-21,332
2018-04-22,307
2018-04-23,303
2018-04-24,320
2018-04-25,396
2018-04-26,359
2018-04-27,377
2018-04-28,351
2018-04-29,298
2018-04-30,319
2018-05-01,402
2018-05-02,345
2018-05-03,325
2018-05-04,413
2018-05-05,361
2018-05-06,320
2018-05-07,287
2018-05-08,390
2018-05-09,344
2018-05-10,351
2018-05-11,327
2018-05-12,367
2018-05-13,292
2018-05-14,323
2018-05-15,338
2018-05-16,353
2018-05-17,344
2018-05-18,397
2018-05-19,344
2018-05-20,355
2018-05-21,313
2018-05-22,331
2018-05-23,359
2018-05-24,336
2018-05-25,336
2018-05-26,347
2018-05-27,333
2018-05-28,335
2018-05-29,324
2018-05-30,324
2018-05-31,333
2018-06-01,414
2018-06-02,317
2018-06-03,300
2018-06-04,310
